,group,names,scores,logfoldchanges,pvals,pvals_adj
49,COVID,HSH2D,2.9976366,2.0774264,0.003284053257301793,0.5585221155853715
50,COVID,HTATIP2,2.9580092,3.8971045,0.0038479865513777706,0.6185169114687159
51,COVID,LY6E,2.9564943,2.6350992,0.003788226158529805,0.6164285787963222
52,COVID,RUNX1,2.950562,1.4904836,0.0036958759377532526,0.6051365564913881
53,COVID,PLSCR1,2.9302506,2.1158123,0.0040293104832845,0.6368661873358444
54,COVID,IGHG3,2.913974,27.510763,0.004490555435932604,0.6420095121482173
55,COVID,DENND5A,2.9108915,1.7079134,0.004189813028881911,0.6420095121482173
56,COVID,NRAS,2.8784761,1.5206765,0.004598532192856523,0.6420095121482173
57,COVID,SREBF2,2.873209,1.9490722,0.004767135016225459,0.6420095121482173
58,COVID,CD38,2.8670797,2.0489807,0.004848941928023572,0.6420095121482173
59,COVID,B3GNT2,2.834435,2.1334639,0.005346231844325447,0.67110484594411
60,COVID,HCP5,2.813771,2.5903652,0.005778965742940916,0.7042456991271532
61,COVID,IFI16,2.811111,1.0059974,0.005488086424308205,0.6856466646027896
62,COVID,ZNF146,2.7829986,1.5918366,0.006116749025526864,0.7329255502814257
63,COVID,PAK1,2.7783222,2.0830963,0.006282803420861206,0.7391652170331922
64,COVID,IGHG1,2.7780209,2.8290334,0.006430270661515468,0.7467328850581906
65,COVID,DDX60,2.7656777,2.5095284,0.00661998595874812,0.750057818672855
66,COVID,ACSL4,2.7233152,1.3565814,0.007220084502418063,0.7773514134438482
67,COVID,SERPINB9,2.7214296,1.9100537,0.007396428861048442,0.7773514134438482
68,COVID,IGHG2,2.7147176,27.392494,0.00793587302856813,0.7773514134438482
69,COVID,PARP9,2.7088215,2.125608,0.007714716299461573,0.7773514134438482
70,COVID,SP2,2.6961064,2.3960357,0.008035643691843019,0.7773514134438482
71,COVID,GFPT1,2.6960278,2.402905,0.008037586630963234,0.7773514134438482
72,COVID,CYFIP2,2.6873271,0.89755976,0.007869989897331092,0.7773514134438482
73,COVID,SSH1,2.6717389,1.8467416,0.008493288700693854,0.7881398755963168
74,COVID,TP53BP2,2.6712422,2.0567496,0.008550813869752536,0.7881398755963168
75,COVID,SAMD9,2.658699,1.6302693,0.00874218775179387,0.8001833726563827
76,COVID,HNRNPH3,2.6482499,1.2539886,0.00892216152711175,0.8054695206034002
77,COVID,LMNB1,2.63607,2.3492157,0.009495351492348108,0.8233781601637779
