,group,names,scores,logfoldchanges,pvals,pvals_adj
4201,COVID,MTMR2,1.8749799,1.3717281,0.06233329406617468,0.5174152121843695
4202,COVID,ST3GAL2,1.8739188,0.41976985,0.06207677643977021,0.5157454170983156
4203,COVID,DCTN2,1.8738339,0.48053983,0.06209703858359471,0.51582176272792
4204,COVID,AAAS,1.8732753,0.90553504,0.06253027832341541,0.5184227188293199
4205,COVID,RFX3-AS1,1.872959,2.71419,0.06316966670947066,0.5219396512937179
4206,COVID,CLCN7,1.8727239,0.85108256,0.06250724061356752,0.5184038007040631
4207,COVID,KRTCAP2,1.8723966,0.34856218,0.06212706244913835,0.515887179524182
4208,COVID,MPV17,1.8720937,0.6616906,0.06250803169660661,0.5184038007040631
4209,COVID,HERC4,1.8715591,0.6519592,0.06257425284460966,0.5185203250174446
4210,COVID,PATL2,1.8711042,1.2032262,0.06294597359430958,0.5206919177195176
4211,COVID,CEBPZOS,1.8709327,0.49132022,0.06253257034823004,0.5184227188293199
4212,COVID,REV1,1.8708513,0.9209125,0.06281973951590175,0.5200096083385848
4213,COVID,NSUN2,1.8699456,0.70657325,0.0628244477874282,0.5200096083385848
4214,COVID,PQBP1,1.8697736,0.45512348,0.06263046124457083,0.5188649131454895
4215,COVID,TNK2,1.8694621,0.6921225,0.06296027703892346,0.5206919177195176
4216,COVID,KLF4,1.8690318,0.6260272,0.0629692956029302,0.5206919177195176
4217,COVID,KDSR,1.8687152,0.7342462,0.06297394522651044,0.5206919177195176
4218,COVID,NAA35,1.8687097,0.9451218,0.06314279744232085,0.521902781414669
4219,COVID,CHRFAM7A,1.8677119,4.0037932,0.06396620382031738,0.5270254048046807
4220,COVID,GIGYF1,1.8673136,0.72543067,0.06330312134819262,0.5226715003339605
4221,COVID,PELP1,1.8672378,0.7998642,0.06325136947793483,0.5225220421635248
4222,COVID,AL133523.1,1.8660309,1.9179832,0.0639262755358541,0.5267896019038082
4223,COVID,MIR155HG,1.8656006,0.8246193,0.06357368785315437,0.5247194675675662
4224,COVID,NUDC,1.8639648,0.43113697,0.06350433906460153,0.5242399665045893
4225,COVID,LRRC57,1.8638705,1.0038469,0.06388607230516821,0.5267881538399546
4226,COVID,SMARCA4,1.8634005,0.70065475,0.06391350990827847,0.5267886727744171
4227,COVID,ZNF532,1.8628337,2.2779858,0.06431299484318602,0.5295080508616079
4228,COVID,YES1,1.8625752,1.4108588,0.06408398616841603,0.5278091251183685
4229,COVID,RRP36,1.862409,0.65304506,0.06389217476377605,0.5267881538399546
4230,COVID,SCAMP5,1.8622348,0.47267666,0.06377471630979253,0.5260990587170844
4231,COVID,CLSTN1,1.8621998,0.6950402,0.06391485442471675,0.5267886727744171
4232,COVID,CCL28,1.8599551,1.555603,0.06464820692164427,0.5314226347693448
4233,COVID,IMMP2L,1.8597356,0.8324857,0.06434773160837466,0.5295755108067948
4234,COVID,DNAJC7,1.859467,0.2925335,0.06382348424707729,0.5264081427347466
4235,COVID,API5,1.8593055,0.6587613,0.06435529294773452,0.5295755108067948
4236,COVID,AC018557.1,1.859239,3.9168484,0.06515668545643463,0.5345648177707909
4237,COVID,AC093673.1,1.8589183,1.8683923,0.06496045519384096,0.533509545375938
4238,COVID,AC112236.2,1.8587381,2.272592,0.06509113306554512,0.5343093114934545
4239,COVID,RCSD1,1.858728,0.46839312,0.0641450331229767,0.5282185297862377
4240,COVID,MPIG6B,1.8585066,1.1673179,0.06474360654088668,0.5320190804552241
4241,COVID,DBI,1.8580613,0.28392076,0.06404785064403706,0.52760478769263
4242,COVID,NUP98,1.8579158,0.77813166,0.06470475685852203,0.5317936474060322
4243,COVID,RGL1,1.857816,3.9736636,0.06536710259774872,0.5358193044894468
4244,COVID,ZWILCH,1.8572235,1.4995339,0.06488202619023374,0.5329908806498049
4245,COVID,PMF1,1.8561733,0.44205877,0.06456875937680347,0.5310506862304047
4246,COVID,AC023355.1,1.8544654,4.159589,0.06586461819583724,0.53885447383823
4247,COVID,AC016876.1,1.8543913,1.704804,0.06554889396385964,0.5371204356046504
4248,COVID,LASP1,1.8538972,0.47322097,0.06497079793314649,0.533509545375938
4249,COVID,HEXDC,1.8533792,0.9393459,0.06536129339450963,0.5358193044894468
4250,COVID,LCORL,1.852882,0.78073597,0.06531163704510355,0.5356612574840258
4251,COVID,TTC28,1.8526293,1.1820188,0.06531332522989153,0.5356612574840258
4252,COVID,AC009126.1,1.8513365,3.878812,0.06628862118091056,0.5413725682138039
4253,COVID,ANO6,1.8511741,0.742546,0.06539148249188531,0.5359248452501734
4254,COVID,PHLDA2,1.8511392,2.8543472,0.06601409954080485,0.5397930161504043
4255,COVID,IGLC7,1.8504376,2.3123386,0.06602570438421201,0.539793157780648
4256,COVID,GAPDH,1.8501284,0.2408701,0.06510279812573952,0.5343109140044837
4257,COVID,POGZ,1.8500707,0.63473046,0.06563487070712284,0.5376358039424319
4258,COVID,RELA,1.8498363,0.6564414,0.06571556420569885,0.5380129776728076
4259,COVID,EXOC6B,1.8496908,3.3057835,0.06650724741276906,0.5429676855023544
4260,COVID,VPS35,1.8492336,0.44950655,0.06560207661696925,0.5374616843343115
4261,COVID,COPS3,1.8487797,0.6044377,0.06578291998607326,0.5383175475027392
4262,COVID,GPR65,1.8487362,0.5679541,0.06569753811075049,0.5379599429339429
4263,COVID,DPY19L1,1.8485518,2.2174132,0.06648187672465268,0.5428556959406171
4264,COVID,PCYT2,1.8482115,0.8750081,0.0660033151096003,0.5397930161504043
4265,COVID,DHX57,1.8481094,1.0498046,0.06612482437458937,0.5403190350229559
4266,COVID,DCUN1D1,1.8479513,0.55220544,0.06575813846069588,0.5382669341158068
4267,COVID,INKA1,1.8459017,2.824544,0.06695404082755935,0.5458500241356361
4268,COVID,MAPKAPK5-AS1,1.8457177,0.618288,0.06617004618619224,0.5405937270321957
4269,COVID,LMO4,1.8454674,0.4091956,0.06608937097017478,0.5401240802236179
4270,COVID,NEMP1,1.844614,1.1456735,0.06666329377608725,0.5438603988205338
4271,COVID,TMEM9,1.8442317,0.84312314,0.06663201422293247,0.5437956815979478
4272,COVID,ZNF783,1.8439701,0.97359324,0.06666044175534477,0.5438603988205338
4273,COVID,EHBP1,1.8430234,1.2466077,0.06693334768921652,0.5457768368203155
4274,COVID,AL118508.1,1.8428059,3.8665001,0.06753272737974172,0.5493180674450652
4275,COVID,SRM,1.8420469,0.412753,0.06659202233418057,0.5435645292474974
4276,COVID,SSBP4,1.8411427,0.5791237,0.06681224473503897,0.5449801451124243
4277,COVID,MRPS25,1.8410591,0.5457631,0.06686449281662388,0.5453108426767519
4278,COVID,IL13RA1,1.8408105,0.81681603,0.06706939784400917,0.5463183127895797
4279,COVID,CTSV,1.8407093,1.1090587,0.06726347419119334,0.5475812281520237
4280,COVID,TAOK1,1.8397945,0.543555,0.0670643625077292,0.5463183127895797
4281,COVID,USP30,1.8396974,2.2411008,0.06778875383508207,0.5508235319472289
4282,COVID,NUTM2A-AS1,1.8393673,0.6679488,0.0670933392727212,0.5464119085105672
4283,COVID,BUD13,1.8390115,1.1605875,0.06755374373428125,0.549393086263575
4284,COVID,MAPKAPK3,1.838989,0.44090194,0.06701843570460468,0.5462794066252502
4285,COVID,IFI27L1,1.8388964,0.9933638,0.06733402348213174,0.5479888451942042
4286,COVID,FAM95B1,1.83836,1.1686974,0.06762602689653442,0.5497889767797836
4287,COVID,RAB15,1.8380706,1.087841,0.06746127912004327,0.5489272334526698
4288,COVID,TP53I3,1.8379935,1.4963913,0.06781495948769753,0.5509403684644055
4289,COVID,AMZ1,1.8378564,2.796372,0.06812553851810872,0.5531741478695444
4290,COVID,AL158154.2,1.8377736,4.078739,0.06829878530643763,0.5541944982956089
4291,COVID,SEC16A,1.8365864,0.6811682,0.06761421215719562,0.549788873997347
4292,COVID,CDIP1,1.8358984,0.9412661,0.0678669108133377,0.5512662900311288
4293,COVID,PRNP,1.8358327,0.6217645,0.06773229290558787,0.5504607698384343
4294,COVID,CD53,1.834755,0.30577946,0.06747289495856919,0.5489272334526698
4295,COVID,ZNF782,1.8340391,1.862244,0.06852798020185999,0.5559574067787262
4296,COVID,MFN2,1.8339723,1.1133487,0.06828531981420816,0.5541817662413019
4297,COVID,HIST1H2BF,1.8332648,3.6664636,0.0689198634181554,0.5585530475767834
4298,COVID,SLC25A24,1.8327352,0.7487835,0.06826680128763063,0.5541280137973489
4299,COVID,REXO2,1.8325176,0.49246237,0.06814172824669436,0.553209178920183
4300,COVID,EEF1E1,1.8324962,0.58865964,0.06811183653316377,0.5531593084136857
4301,COVID,UTP20,1.8310289,1.2658671,0.06877715228501241,0.5576875303820745
4302,COVID,AL008729.2,1.830971,2.1884093,0.06907530065374322,0.5591806228559394
4303,COVID,STX17,1.8306859,0.99010515,0.06873896554449195,0.557474925300246
4304,COVID,AP001816.1,1.8305705,1.9053692,0.06909320276042488,0.5591806228559394
4305,COVID,PPP2R3A,1.8304034,2.7612584,0.06930295122985777,0.5604876180714747
4306,COVID,ALDH1L2,1.8299104,3.8130524,0.06944507217210427,0.5609553046757942
4307,COVID,DNAJC11,1.8284899,1.1826886,0.06917907661840504,0.5596801155247969
4308,COVID,TSPAN17,1.8284508,1.5699608,0.06933730115558909,0.560668084886645
4309,COVID,ITPRIP,1.8283008,0.94028217,0.06900841443468986,0.5589194019724238
4310,COVID,PEAK1,1.8277274,1.5051634,0.06915644091116056,0.5595941711664936
4311,COVID,NELFCD,1.8273932,0.5637814,0.06894626028409187,0.5586697841492669
4312,COVID,KCNJ14,1.8273195,3.807014,0.06983554522293274,0.5632304429821847
4313,COVID,CD320,1.8271276,0.52367854,0.06891330609789188,0.5585530475767834
4314,COVID,FGD6,1.8267677,3.9694843,0.06993834262020306,0.5635754912089304
4315,COVID,DCBLD1,1.8267393,1.979906,0.06944003548479248,0.5609553046757942
4316,COVID,AC008467.1,1.8266503,3.8178194,0.0699382990216443,0.5635754912089304
4317,COVID,SAP25,1.8261513,0.74198806,0.06921728373778403,0.5598919856990678
4318,COVID,IARS2,1.8260417,0.59905124,0.0690933295800873,0.5591806228559394
4319,COVID,STARD5,1.8259848,1.4088148,0.06961589116791354,0.5617506797446882
4320,COVID,UQCRC2,1.825747,0.39928517,0.06901306028132796,0.5589194019724238
4321,COVID,SPTY2D1OS,1.824937,2.6535056,0.07001678200778083,0.5637161723211999
4322,COVID,MS4A4E,1.8246074,25.313646,0.0703388923380581,0.5657228868570612
4323,COVID,UBA6,1.8239911,0.59339195,0.0694439617514729,0.5609553046757942
4324,COVID,AC025580.3,1.8239881,4.0775714,0.07037095508182431,0.5658830608547737
4325,COVID,XIST,1.8239834,0.55004364,0.06940882281604649,0.5609543029255222
4326,COVID,SLC50A1,1.8237587,0.61852133,0.06950851499896533,0.5611987529469761
4327,COVID,PSMA4,1.823014,0.35289207,0.06937150150778544,0.5607602172077312
4328,COVID,CTR9,1.8227834,0.6362394,0.06969841612605258,0.5623191923824097
4329,COVID,KMT5A,1.8226773,0.86859906,0.0698590448147148,0.5633224413447593
4330,COVID,BSG,1.821958,0.37080395,0.06952638266886138,0.5612228401050491
4331,COVID,NPPA-AS1,1.8216242,3.673298,0.0706819556897524,0.5676001075420489
4332,COVID,TIMM23,1.8214086,0.8270876,0.06993881836422004,0.5635754912089304
4333,COVID,BMPR2,1.8212738,0.8076578,0.06996688483838037,0.5636310570884746
4334,COVID,KIF13B,1.8210899,0.83134246,0.0701775480562596,0.5648471979758063
4335,COVID,KCNRG,1.8210807,4.1955924,0.0708241340249437,0.568186558695003
4336,COVID,HPS5,1.8210348,0.70828575,0.06998201172505017,0.5636310570884746
4337,COVID,EVI2B,1.8209095,0.33004802,0.06959635713357186,0.5616903500884116
4338,COVID,CORO1B,1.8208095,0.45435464,0.06976609119760294,0.5627677216188979
4339,COVID,HBP1,1.8207816,0.6616711,0.06997001931733368,0.5636310570884746
4340,COVID,AL359258.2,1.8206905,3.6455793,0.07082092144960186,0.568186558695003
