,group,names,scores,logfoldchanges,pvals,pvals_adj
111,COVID,NT5C3A,3.9580069,1.4382794,8.94963979306972e-05,0.017908389997904842
112,COVID,CCZ1,3.955314,2.405468,8.67582909464882e-05,0.017624907729312904
113,COVID,SHD,3.9475791,1.0995321,9.61128470890369e-05,0.018941182222719802
114,COVID,LINC-PINT,3.9472008,1.1044259,9.635817032834683e-05,0.018941182222719802
115,COVID,GABARAPL1,3.9232378,1.8812456,0.00010024673049280703,0.019590321595778552
116,COVID,CHST2,3.9208145,3.743331,0.00010110732782278989,0.01964035229083034
117,COVID,ODF3B,3.913122,2.7378523,0.00010270502887198748,0.019724677872501182
118,COVID,NPDC1,3.900938,25.776321,0.00011255859629224367,0.02089650340165504
119,COVID,SYNGR1,3.8882205,3.4625556,0.00011421299195927694,0.021086494764105842
120,COVID,CALR,3.8786721,0.631885,0.00013293788423430363,0.02310456314474416
121,COVID,FAM20A,3.8636527,25.91908,0.00013047631164400984,0.022850370542311284
122,COVID,ARRDC3,3.8629348,1.5499749,0.00012983046067761416,0.022850370542311284
123,COVID,RPL29,3.859449,0.45134896,0.00014686343326950212,0.024448440658931873
124,COVID,SLC32A1,3.8552744,2.3585823,0.00012986379597089746,0.022850370542311284
125,COVID,CMPK2,3.8547292,2.3327568,0.00013026084342204742,0.022850370542311284
126,COVID,LGMN,3.8539243,0.88881975,0.00014318385411231819,0.024224946823409244
127,COVID,APOBEC3A,3.8494155,2.3003316,0.00013344048499074193,0.02310456314474416
128,COVID,KLF3,3.8448098,1.258524,0.00014246609232892698,0.024224946823409244
129,COVID,CD300E,3.8304458,3.3084762,0.00014319044285083287,0.024224946823409244
130,COVID,CXCR3,3.8038914,0.92537826,0.00017171130383849712,0.02743543123207483
131,COVID,NR4A2,3.7950435,2.575846,0.00016463327733485673,0.026836830383897108
132,COVID,SAMD9,3.7824514,1.3549697,0.00017852849832514402,0.028008858349912385
133,COVID,SLC16A6,3.7773814,25.95964,0.00018281784932046413,0.028414995677869533
134,COVID,BTG2,3.774679,0.7725049,0.00019436224373066302,0.029657548396107607
135,COVID,S100A4,3.7737195,0.69701964,0.0002015948561487279,0.030482784198742265
136,COVID,CLU,3.7672908,1.857546,0.00018614815228941127,0.028798670393774334
137,COVID,ZNF331,3.7550774,1.5089945,0.00019726468376160533,0.02996360880573439
138,COVID,MX2,3.7459226,1.09262,0.0002118083085092864,0.031882874979526236
139,COVID,H1FX,3.7263045,0.84600604,0.00023185840979019043,0.034435611022039084
140,COVID,MSL2,3.694269,1.3630897,0.00025154014933336075,0.03702959105847099
141,COVID,TRBC2,3.6942317,1.8317126,0.0002464906326389074,0.03644680296855915
142,COVID,ELL2,3.6841438,2.5924847,0.00025265337820782734,0.03703034184022354
143,COVID,KLF10,3.6789756,1.0900434,0.00027251275230263765,0.039593733233466266
144,COVID,SELL,3.6702487,0.3024248,0.0002953789585549133,0.04218238742747666
145,COVID,OAS3,3.6423275,2.2028775,0.00030000170245226903,0.042660242088712656
146,COVID,RAP2B,3.6363444,0.95698977,0.0003193381930740409,0.0450408632297771
